,film,year,female_POC_perc
0,born-on-the-fourth-of-july,1989,0.0
1,bridge-of-spies,2015,0.0
2,brooklyn,2015,0.0
3,call-me-by-your-name,2017,0.0
4,darkest-hour,2017,0.0
5,dead-poets-society,1989,0.0
6,driving-miss-daisy,1989,2.236842105263158
7,dunkirk,2017,0.0
8,field-of-dreams,1989,0.0
9,get-out,2017,3.6090225563909777
10,lady-bird,2017,1.7421602787456445
11,mad-max,2015,9.221902017291066
12,my-left-foot,1989,0.0
13,phantom-thread,2017,0.0
14,room,2015,4.455445544554455
15,spotlight,2015,0.0
16,the-big-short,2015,2.861952861952862
17,the-martian,2015,0.0
18,the-post,2017,0.8507853403141361
19,the-revenant,2015,0.0
20,the-shape-of-water,2017,14.92204899777283
21,three-billboards-outside-ebbing-missouri,2017,0.9205020920502093
